Airportcode,Product,PostedOTDPrice,Discount,CustomerOTDPrice
ABQ,JETA,8.57,3.73,4.67
ADS,JETA,7.47,2.39,5.08
AGC,JETA,7.81,2.43,5.38
ANC,JETA,9.01,3.48,5.53
ANE,JETA,8.69,0.00,8.69
APC,JETA,11.00,2.57,8.23
ASE,JETA,9.91,0.00,9.91
AUS,JETA,10.77,4.75,6.02
BAF,JETA,8.64,0.00,8.64
BCT,JETA,9.76,4.36,5.40
BDL,JETA,9.03,2.42,6.61
BDR,JETA,8.56,2.34,6.22
BED,JETA,11.00,5.21,5.79
BFL,JETA,8.70,2.56,5.93
BHM,JETA,9.15,3.62,5.53
BNA,JETA,8.86,1.98,6.80
BUR,JETA,8.64,2.16,6.26
CHS,JETA,10.08,2.55,7.30
CLE,JETA,8.38,1.38,6.89
CPR,JETA,9.30,2.13,7.17
CRP,JETA,8.54,3.06,5.48
CRQ,JETA,10.70,4.52,5.83
DAL,JETA,7.35,2.54,4.81
DTS,JETA,8.96,0.00,8.96
ELM,JETA,6.97,0.72,6.22
ELP,JETA,8.52,3.41,5.11
EUG,JETA,8.61,0.00,8.61
FAI,JETA,8.63,2.47,6.16
FAT,JETA,8.62,1.23,7.29
FMN,JETA,8.03,0.00,8.03
FRG,JETA,8.48,3.09,5.25
FXE,JETA,7.08,1.98,5.10
GPI,JETA,8.07,0.00,8.07
HDN,JETA,9.15,0.00,9.15
HNL,JETA,8.21,3.87,4.16
HOU,JETA,8.28,3.38,4.90
HPN,JETA,9.48,3.92,5.39
IAD,JETA,9.73,3.60,6.13
IAH,JETA,9.17,3.73,5.44
ILG,JETA,7.87,2.48,5.39
ITO,JETA,7.99,3.28,4.55
JAN,JETA,8.31,0.00,8.31
JNU,JETA,11.37,0.00,11.37
JZI,JETA,10.10,0.00,10.10
KOA,JETA,7.71,3.10,4.46
KTN,JETA,11.19,0.00,11.19
LAS,JETA,9.81,3.10,6.71
LAX,JETA,12.03,5.47,6.04
LGB,JETA,9.15,2.76,6.11
LIH,JETA,8.73,4.01,4.53
LIT,JETA,8.75,2.70,6.05
LNK,JETA,7.62,2.49,5.13
LNY,JETA,8.96,4.04,4.73
MCO,JETA,8.64,2.98,5.66
MDW,JETA,9.88,2.75,6.90
MKC,JETA,8.53,3.03,5.31
MMU,JETA,8.48,2.24,6.24
MSY,JETA,8.84,2.49,6.22
MTJ,JETA,9.70,0.00,9.70
OGG,JETA,8.69,3.97,4.53
OKC,JETA,7.50,2.74,4.76
OMA,JETA,8.01,3.66,4.35
OPF,JETA,8.45,3.26,5.19
ORH,JETA,8.55,0.00,8.55
ORL,JETA,8.50,2.59,5.91
OXC,JETA,8.66,2.67,5.99
PBI,JETA,10.38,5.14,5.24
PDK,JETA,8.02,2.15,5.85
PDX,JETA,8.96,0.00,8.96
PHF,JETA,8.30,1.73,6.57
PHL,JETA,9.15,0.00,9.15
PIT,JETA,8.48,0.00,8.48
PLS,JETA,5.79,1.14,4.65
PNE,JETA,8.84,1.64,7.20
PSP,JETA,9.78,2.52,7.02
PVD,JETA,10.26,0.00,10.26
PWA,JETA,6.67,2.29,4.38
PWK,JETA,9.06,2.55,6.30
RDU,JETA,8.77,2.79,5.79
RIL,JETA,9.69,0.00,9.70
RNO,JETA,9.55,2.83,6.72
SAF,JETA,7.28,0.00,7.28
SBA,JETA,10.27,2.94,7.07
SBN,JETA,7.24,1.60,5.64
SCK,JETA,9.19,0.00,9.19
SDF,JETA,8.96,0.00,8.96
SDL,JETA,9.55,3.85,5.70
SGJ,JETA,9.03,0.00,9.03
SIT,JETA,11.72,0.00,11.72
SJC,JETA,11.69,4.04,7.27
SKF,JETA,7.60,0.00,7.60
SLC,JETA,9.58,2.79,6.79
SMO,JETA,10.64,0.00,10.64
SRQ,JETA,8.78,3.21,5.57
SUA,JETA,8.75,3.11,5.64
SUN,JETA,10.86,0.00,10.86
SWF,JETA,9.03,3.09,5.80
TEB,JETA,10.14,4.62,5.52
TRM,JETA,9.71,3.02,6.47
TUL,JETA,7.33,2.95,4.38
TUS,JETA,8.52,2.13,6.39
UAO,JETA,8.77,0.00,8.77
UES,JETA,7.81,2.13,5.68
