Auto.,STATE,CITY,ICAO,IATA,Fixed Base Operator,,FROM,TO,PRICE,EFF DATE,PREAUTH,FBO FAX,FBO WEBSITE,AGENT FOT,AVFUEL CONTACT INFO,AVFUEL CF PHONE,AVFUEL WEBSITE,PRODUCT,NOTES,SUB-ACCOUNT,TAIL NUMBER
No,,Aalborg,EKYT,AAL,"Shell / DCC - AAL",,"1","99999",5.3902 ,3/10/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
No,,Al Ain,OMAL,AAN,"ADNOC/ENOC - AAN",,"1","99999",2.8851 ,3/1/2026,T,+971562668680,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.  ,,
Yes,,Aarhus,EKAH,AAR,"Shell / DCC - AAR",,"1","99999",5.4052 ,3/10/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Abidjan,DIAP,ABJ,"OLA Aviation - ABJ",,"1","99999",2.9264 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    International operations only,,
Yes,,Abuja,DNAA,ABV,"TotalEnergies - ABV",,"1","99999",4.4952 ,3/10/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    ABV/DNAA/ABUJA :  max. volume 5 000 USG/flight,,
Yes,,Aberdeen,EGPD,ABZ,"Signature Flight Support   ABZ",,"1","99999",4.5770 ,3/3/2026,F,+44.1224.725458,http://www.signatureflight.com/Locations/Pages/fbo.aspx?Loc=ABZ,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Due to the implementation of the UK SAF Mandate the cost associated with mandate compliance will be invoiced and is subject to change at any time.,,
Yes,,Acapulco,MMAA,ACA,"ICCS Acapulco FBO - ACA",,"1","99999",3.4280 ,3/3/2026,F,,www.iccs.com.mx,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    SENEAM air navigation fee may be invoiced at the same time  but is not included in the price of fuel,,
No,,Accra,DGAA,ACC,"Puma Energy - ACC",,"1","99999",8.5313 ,2/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Uplift date falling on Monday to Friday – Request must be sent 24 hours prior to the fueling date  Uplift date falling on Saturday and Sunday – Request must be sent 48 hours prior to the fueling date,,
No,,Lanzarote,GCRR,ACE,"CMD / Cepsa - ACE",,"1","99999",2.8863 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     48 Hour prior notice required  ,,
Yes,,Adana,LTAF,ADA,"THYOpet - ADA (Int'l)",,"1","99999",2.7690 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Not available Turkish aircraft performing domestic flights.,,
Yes,,Izmir,LTBJ,ADB,"SOCAR - ADB (Int'l) COM",,"1","99999",2.6340 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Not available Turkish aircraft performing domestic flights.,,
No,,Addis Ababa,HAAB,ADD,"OAFS - ADD",,"1","99999",3.4683 ,2/1/2026,T,+251 (11) 442 30 17,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    International operations only    Transport charge is subject to change for month of delivery.,,
Yes,,Amman,OJAM,ADJ,"Manaseer - ADJ",,"1","99999",3.0214 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Chartered flights (ADHOC):   •General / Business Aviation   •Unscheduled cargo   •Unscheduled passenger / tour operators,,
No,,Buenos Aires,SABE,AEP,"Shell / Raizen - AEP (Intl)",,"1","99999",3.1222 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     International flights only.      72 working hours advanced notice required.   ,,
Yes,,Alesund,ENAL,AES,"Shell Aviation - AES",,"1","99999",5.0831 ,3/1/2026,F,4770183191,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,,,
Yes,,Agadir,GMAD,AGA,"Total Energies - AGA",,"1","99999",3.1949 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
Yes,,Augsburg,EDMA,AGB,"Air BP - AGB",,"1","99999",8.3739 ,3/9/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    SAF Mandate Fee in response to ReFuelEU will be assessed and applied to any applicable transaction.,,
Yes,,Malaga,LEMG,AGP,"Skytanking / Cepsa - AGP",,"1","99999",2.6868 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.      48 Hour prior notice required    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced.,,
Yes,,Corsica,LFKJ,AJA,"Air BP/Ceccaldi - AJA",,"1","99999",620.8605 ,3/9/2026,F,+33495 22 57 66,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    TIC (excise duty) will be charged unless a photocopy of the AOC is left with the into plane agent at the airport.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
No,,Agadez,DRZA,AJY,"OLA Aviation - AJY",,"1","99999",4.7767 ,3/1/2026,T,+227 20 38 29 26,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    International operations only    24 Hour notice required on Weekdays. 48 Hours notice required on Weekends.,,
