"ICAO","IATA","BASE_PRICE","USG_FROM","USG_TO","INTO PLANE FEE","SUPPLIER","EXCISE TAX","VAT","MOT_GAL","AIRPORT FEES","FLIGHT TYPE","TOTAL PRICE USD","EFFECTIVE DATE","EXPIRATION DATE","DISC","NOTES1"
"07FA","07FA","6.4795","1","99999","","Ocean Reef Club Inc","","","","","ALL","6.4795","3/10/2026","3/17/2026","D","Valid: 3/10/2026 - 3/17/2026  "
"AGGH","HIR","4.9367","1","99999","","SOUTH PACIFIC OIL LTD","","","","","ALL","4.9367","3/1/2026","3/31/2026","","Valid: 3/1/2026 - 3/31/2026 Subject to change without prior notification.  48 Hours prior notice required."
"AYBK","BUA","6.8574","1","99999","","Puma Energy - [INTERNATIONAL]","","","","","ALL","6.8574","3/8/2026","3/15/2026","","Valid: 3/8/2026 - 3/15/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  Fuel will be confirmed on a flight by flight basis based on fuel stock on that day. Monday to Friday : Request must be sent 24 hours prior; Saturday and Sunday : Request must be sent 48 hours prior. Hook up fee 16 USD. Low Fuel Fee 27 USD. After Hours Fueling Fee 160 USD Per Uplift."
"BGBW","UAK","7.2134","1","99999","","Airport Authority","","","","","ALL","7.2134","3/1/2026","3/15/2026","","Valid: 3/1/2026 - 3/15/2026  Price is EUR based using rate of .8597. Subject to change based on exchange rate fluctuations. Subject to change based on actual density readings at the moment of the uplift. Subject to change without prior notification.  Administration fee 32 USD/UPLIFT ; Weather opening fee (0600-0900 UTC) applicable on weekends 535 USD/UPLIFT ; Airport opening fee (0900 1100 UTC) applicable on weekends 1030 USD/UPLIFT ; Out of hours fee 118 USD/UPLIFT; Opening hours are Mon to Sat (Excluding Sundays and Holidays) 10:00 - 19:00 UTC ; PPR (Prior Permission Required) before end of published operational hours; Cannot assist RA Operators and RA Aircraft.;"
"BGGH","GOH","7.4614","1","99999","","Airport Authorities","","","","","ALL","7.4614","3/1/2026","3/9/2026","","Valid: 3/1/2026 - 3/9/2026  Price is EUR based using rate of .8597. Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  24 H prior notice required. Hook-up fee 35 USD/Uplift. Stamp duty of 3 USD/invoice. Overtime fee 120 USD/Uplift. Additional SAF fee may be applied."
"BIAR","AEY","4.3983","1","99999","","Skeljungur","","","","","ALL","4.3983","3/1/2026","3/31/2026","D","Valid: 3/1/2026 - 3/31/2026  Additional SAF Fee may be applied. Hook up fee 35 USD. Callout fee 775 USD. Valid for military flights."
"BIEG","EGS","5.1588","1","99999","","Skeljungur","","","","","ALL","5.1588","3/1/2026","3/31/2026","D","Valid: 3/1/2026 - 3/31/2026  Additional SAF Fee may be applied. Hook up fee 35 USD. Callout fee 775 USD. Valid for military flights."
"BIKF","KEF","3.0533","1","99999","","EAK","","","","","ALL","3.0533","3/1/2026","3/31/2026","D","Valid: 3/1/2026 - 3/31/2026  Price valid at all FBOs. Hook up fee 90 USD. Additional SAF Fee may be applied. Valid for military flights."
"BIRK","RKV","3.6885","1","99999","","Skeljungur","","","","","ALL","3.6885","3/1/2026","3/31/2026","D","Valid: 3/1/2026 - 3/31/2026  Additional SAF Fee may be applied. Hook up fee 35 USD. Callout fee 775 USD. Valid for military flights."
"BKPR","PRN","4.1921","1","99999","","Ex Fis","","","","","135","4.1921","3/1/2026","3/15/2026","","Valid: 3/1/2026 - 3/15/2026  Price is EUR based using rate of .8597. Subject to change based on exchange rate fluctuations. Subject to change without prior notification. Vendor small uplift 35 USD for uplift under 265 USG Additional SAF Fee may be applied."
"BKPR","PRN","5.0305","1","99999","","Ex Fis - Part 91","","","","","91","5.0305","3/1/2026","3/15/2026","","Part 91 / Executive or Private. Valid: 3/1/2026 - 3/15/2026  Price is EUR based using rate of .8597. Subject to change based on exchange rate fluctuations. Subject to change without prior notification. Vendor small uplift 35 USD for uplift under 265 USG Additional SAF Fee may be applied."
"CNY3","CNY3","6.265","1","99999","","Collingwood Regional Airport Inc","","","","","ALL","6.265","3/3/2026","3/10/2026","D","Valid: 3/3/2026 - 3/10/2026  Price is CAD based using rate of 1.35585. Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  "
"CYAM","YAM","6.2162","1","99999","","Executive Aviation Fuels Ltd","","","","","ALL","6.2162","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  "
"CYAM","YAM","6.3098","1","99999","","Jd Aero","","","","","ALL","6.3098","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYBC","YBC","7.9775","1","99999","","Avjet - Ybc","","","","","ALL","7.9775","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYBG","YBG","7.8835","1","99999","","Avjet - Ybg","","","","","ALL","7.8835","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYBL","YBL","5.7808","1","99999","","Campbell River Airport","","","","","ALL","5.7808","3/1/2026","3/8/2026","","Valid: 3/1/2026 - 3/8/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING SUBJECT TO CHANGE AT ANY TIME. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYCD","YCD","5.2242","1","99999","","Enex Aviation","","","","","ALL","5.2242","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYCH","YCH","7.9505","1","26416","","Miramichi Airport","","","","","ALL","7.9505","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. MTOW < 42KGS AND ALL PART 91 AIRCRAFT. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYCL","YCL","6.9116","1","99999","","Charlo Airport Comm","","","","","ALL","6.9116","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYDF","YDF","7.514","1","264","","Woodward Aviation","","","","","ALL","7.514","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYDF","YDF","7.1225","264","528","","Woodward Aviation","","","","","ALL","7.1225","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYDF","YDF","6.8615","528","1320","","Woodward Aviation","","","","","ALL","6.8615","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYDF","YDF","6.6985","1321","3170","","Woodward Aviation","","","","","ALL","6.6985","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYDF","YDF","6.5353","3170","6604","","Woodward Aviation","","","","","ALL","6.5353","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYEG","YEG","5.2313","1","99999","","Airside Flight Services","","","","","ALL","5.2313","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  "
"CYEG","YEG","4.9763","1","26416","","Executive Flight Centre","","","","","ALL","4.9763","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. Hook Up Fee / Aircraft $55.00 . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYEG","YEG","5.3178","1","99999","","Shell Aerocentre - Jet","","","","","ALL","5.3178","3/10/2026","3/16/2026","D","Valid: 3/10/2026 - 3/16/2026 Subject to change based on exchange rate fluctuations.  Jet A-1. No Fuel Required Fee 100 USD."
"CYEG","YEG","5.3768","1","99999","","SHELL AEROCENTRE - Jet w Additive","","","","","ALL","5.3768","3/10/2026","3/16/2026","D","Valid: 3/10/2026 - 3/16/2026 Subject to change based on exchange rate fluctuations.  Jet w/Add. No Fuel Required Fee 100 USD."
"CYFC","YFC","8.9312","1","99999","","Menzies - Yfc","","","","","ALL","8.9312","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. MTOW < 42KGS AND ALL PART 91 AIRCRAFT. $50 MINIMUM ITP FEE. $150 AFTER HOURS FEE WHEN APPLICABLE. CAN FUEL AT CAPITAL AIRWAYS. MILITARY AIRCRAFT INCUR HIGHER AIRPORT FEES. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYFJ","YFJ","7.9681","1","99999","","Mont-Tremblant Airport - [INTERNATIONAL]","","","","","ALL","7.9681","3/3/2026","3/10/2026","D","Valid: 3/3/2026 - 3/10/2026  Price is CAD based using rate of 1.35585. Subject to change without prior notification.  "
"CYGK","YGK","7.6494","1","99999","","Central Airways","","","","","ALL","7.6494","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDITIVE NOT INCLUDED. $0.03 CPL additional for additive. .LESS THAN DC-9 ."
"CYHD","YHD","7.9686","1","99999","","Morgan Aviation","","","","","ALL","7.9686","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDITIVE NOT INCLUDED.LESS THAN DC-9 . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHM","YHM","6.6557","1","264","","Hamilton Jetport","","","","","ALL","6.6557","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHM","YHM","6.5921","265","528","","Hamilton Jetport","","","","","ALL","6.5921","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHM","YHM","6.5286","529","793","","Hamilton Jetport","","","","","ALL","6.5286","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHM","YHM","6.4334","794","925","","Hamilton Jetport","","","","","ALL","6.4334","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHM","YHM","6.4017","926","1057","","Hamilton Jetport","","","","","ALL","6.4017","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHM","YHM","5.4393","1","99999","","Onward Aviation","","","","","ALL","5.4393","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  "
"CYHR","YHR","13.111","1","99999","","Les Services Maxjet","","","","","ALL","13.111","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYHU","YHU","6.1579","1","99999","","Avjet - Yhu","","","","","ALL","6.1579","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYHU","YHU","7.132","1","99999","","Hub Fbo","","","","","ALL","7.132","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYHU","YHU","5.7087","1","99999","","Lux Fbo","","","","","ALL","5.7087","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  Prior notice required."
"CYHU","YHU","6.4032","1","132","","Pascan Aviation","","","","","ALL","6.4032","3/3/2026","3/10/2026","","Valid: 3/3/2026 - 3/10/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $150 AFTER HRS FEE . Local supplier charges 12% Admin fee on all non-fuel related items."
