FBO,Volume Tier,Product,Price,Tail Numbers
"KHOU","1+  ","Jet A ",$7.4800,"N125TH"
,"1+  ","SAF ",$9.3200,"N125TH"
"KHOU","1+  ","Jet A ",$5.0600,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
,"1+  ","SAF ",$6.9000,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
"KVNY","1 - 500","Jet A ",$7.50,"All Tails"
,"501 - 750","Jet A ",$7.50,"All Tails"
,"751 - 1,001","Jet A ",$7.50,"All Tails"
,"1,001+  ","Jet A ",$7.50,"All Tails"
,"1 - 500","SAF ",$7.05,"All Tails"
,"501 - 750","SAF ",$7.05,"All Tails"
,"751 - 1,001","SAF ",$7.05,"All Tails"
,"1,001+  ","SAF ",$7.05,"All Tails"
"KPBI","1+  ","Jet A ",$5.4300,"All Tails"
,"1+  ","SAF ",$7.2700,"All Tails"
"KTEB","1+  ","Jet A ",$6.0500,"All Tails"
,"1+  ","SAF ",$7.8900,"All Tails"
"KBED","1+  ","Jet A ",$5.2300,"All Tails"
,"1+  ","SAF ",$7.2100,"All Tails"
"TJSJ","1+  ","Jet A ",$6.1700,"All Tails"
"KDAL","1+  ","Jet A ",$6.8200,"N125TH"
,"1+  ","SAF ",$7.4200,"N125TH"
"KDAL","1+  ","Jet A ",$5.0700,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
,"1+  ","SAF ",$5.6700,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
"KCPS","1+  ","Jet A ",$7.90,"All Tails"
"KSDL","1+  ","Jet A ",$5.91,"All Tails"
,"1+  ","SAF ",$8.21,"All Tails"
"KBZN","1+  ","Jet A ",$5.83,"All Tails"
,"1+  ","SAF ",$7.98,"All Tails"
"KMKE","1 - 1,001","Jet A ",$5.34,"All Tails"
,"1,001+  ","Jet A ",$5.29,"All Tails"

