Base,Tail Number,Min Quantity,Max Quantity,Total
ACY,"",1.0,300.0,8.33289
ACY,"",301.0,1200.0,8.02289
ACY,"",1201.0,999999.0,7.51289
AMA,"",1.0,300.0,5.10492
AMA,"",301.0,1200.0,5.07328
AMA,"",1201.0,999999.0,4.99418
ANC,"",1.0,500.0,6.06239
ANC,"",501.0,1200.0,6.01239
ANC,"",1201.0,999999.0,5.96239
AP3,"",1.0,300.0,4.57142
AP3,"",301.0,1200.0,4.56151
AP3,"",1201.0,999999.0,4.55136
APA,"",1.0,300.0,4.57142
APA,"",301.0,1200.0,4.56151
APA,"",1201.0,999999.0,4.55136
ATL,"",1.0,300.0,10.38876
ATL,"",301.0,1200.0,10.2456
ATL,"",1201.0,999999.0,10.1286
AUS,"",1.0,300.0,5.26295
AUS,"",301.0,1200.0,5.23318
AUS,"",1201.0,999999.0,5.18528
AVL,"",1.0,300.0,7.72881
AVL,"",301.0,1200.0,7.66454
AVL,"",1201.0,999999.0,7.61434
BCT,"",1.0,500.0,5.68885
BCT,"",501.0,1200.0,5.62175
BCT,"",1201.0,999999.0,5.56305
BDL,"",1.0,300.0,6.41519
BDL,"",301.0,1200.0,6.36859
BDL,"",1201.0,999999.0,6.29679
BED,"",1.0,500.0,5.50785
BED,"",501.0,1200.0,5.46918
BED,"",1201.0,999999.0,5.41863
BFI,"",1.0,500.0,6.26207
BFI,"",501.0,1200.0,6.19786
BFI,"",1201.0,999999.0,6.03064
BFM,"",1.0,300.0,8.31579
BFM,"",301.0,1200.0,7.95055
BFM,"",1201.0,999999.0,7.90172
BJC,"",1.0,999999.0,6.03796
BKL,"",1.0,300.0,7.88502
BKL,"",301.0,1200.0,7.80402
BKL,"",1201.0,999999.0,7.70358
BNA,"",1.0,300.0,5.93016
BNA,"",301.0,1200.0,5.86994
BNA,"",1201.0,999999.0,5.83939
BOS,"",1.0,500.0,9.68501
BOS,"",501.0,1200.0,9.63501
BOS,"",1201.0,999999.0,9.52701
BTR,"",1.0,300.0,5.79966
BTR,"",301.0,1200.0,5.62326
BTR,"",1201.0,999999.0,5.48943
BU1,"",1.0,500.0,7.3161
BU1,"",501.0,1200.0,7.0041
BU1,"",1201.0,999999.0,6.7441
BWI,"",1.0,300.0,8.66417
BWI,"",301.0,1200.0,8.60994
BWI,"",1201.0,999999.0,8.4993
BZN,"",1.0,500.0,5.75914
BZN,"",501.0,1200.0,5.72819
BZN,"",1201.0,999999.0,5.65179
CHO,"",1.0,300.0,7.72769
CHO,"",301.0,1200.0,7.67769
CHO,"",1201.0,999999.0,7.45969
CHS,"",1.0,300.0,5.8365
CHS,"",301.0,1200.0,5.79128
CHS,"",1201.0,999999.0,5.68949
CID,"",1.0,300.0,7.38889
CID,"",301.0,1200.0,6.84306
CID,"",1201.0,999999.0,6.40097
CMH,"",1.0,300.0,6.26896
CMH,"",301.0,1200.0,6.16254
CMH,"",1201.0,999999.0,6.11416
DA5,"",1.0,500.0,5.01804
DA5,"",501.0,1200.0,5.00403
DA5,"",1201.0,999999.0,4.89672
DAL2,"",1.0,500.0,4.94656
