AIRPORT CODE,FBO,CITY,STATE,PHONE NUMBER,AVGAS QUANTITY,AVGAS PRICE PER UNIT,JET A WITH ADD QUANTITY,JET A WITH ADD PRICE PER UNIT,JET A QUANTITY,JET A PRICE PER UNIT,CN JET A QUANTITY,CN JET A PRICE PER UNIT,CN JET A WITH ADD QUANTITY,CN JET A WITH ADD PRICE PER UNIT,SAF QUANTITY,SAF PRICE PER UNIT,SAF WITH ADD QUANTITY,SAF WITH ADD PRICE PER UNIT,ICAO
06A,City of Tuskegee FBO,Tuskegee,AL,334-720-0547,,,1+,$5.22 ,1+,$5.22 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,06A
07FA,Ocean Reef Club Inc,Key Largo,FL,305-367-2611,,,1+,$6.34 ,1+,$6.34 ,,,,,,,,,07FA
0A9,Elizabethton Municipal Airport,Elizabethton,TN,423-543-2801,,,1+,$4.83 ,1+,$4.83 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,0A9
0M4,Benton County Airport,Camden,TN,731-584-5343,,,1+,$3.59 ,1+,$3.59 ,,,,,,,,,K0M4
11R,Brenham Aviation,Brenham,TX,979-337-7245,,, 0 - 249,$5.88 , 0 - 249,$5.88 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,K11R
11R,Brenham Aviation,Brenham,TX,979-337-7245,,, 250 - 499,$5.80 , 250 - 499,$5.80 ,,,,,,,,,K11R
11R,Brenham Aviation,Brenham,TX,979-337-7245,,, 500 - 999,$5.70 , 500 - 999,$5.70 ,,,,,,,,,K11R
11R,Brenham Aviation,Brenham,TX,979-337-7245,,,1000+,$5.60 ,1000+,$5.60 ,,,,,,,,,K11R
18A,Franklin Hart County,Canon,GA,706-245-1002,,,All Quantities,$4.82 ,All Quantities,$4.82 ,1+,$0.00 ,,,1+,$0.00 ,,,18A
1A5,Macon Air LLC,Franklin,NC,828-524-5529,,,All Quantities,$5.17 ,All Quantities,$5.17 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,1A5
1G0,Wood County Regional,Bowling Green,OH,419-354-2908,,,All Quantities,$4.87 ,All Quantities,$4.87 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,1G0
1M5,Portland Airport,Portland,TN,615-323-7500,,,1+,$4.22 ,1+,$4.22 ,,,,,,,,,1M5
1R8,Baldwin Aviation Inc,Bay Minette,AL,251-494-0502,,,All Quantities,$6.31 ,All Quantities,$6.31 ,1+,$0.00 ,,,1+,$0.00 ,,,1R8
21D,Lake Elmo Aero LLC,Lake Elmo,MN,651-777-1399,,,1+,$4.77 ,1+,$4.77 ,1+,$0.00 ,,,1+,$0.00 ,,,K21D
27K,Georgetown Scott County,Georgetown,KY,502-863-6320,,,All Quantities,$5.72 ,All Quantities,$5.72 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,27K
3J1,SkyBlue Aviation,Ridgeland,SC,843-547-8383,,, 1 - 199,$7.37 , 1 - 199,$7.37 ,,,,,,,,,3J1
3J1,SkyBlue Aviation,Ridgeland,SC,843-547-8383,,, 200 - 399,$7.03 , 200 - 399,$7.03 ,,,,,,,,,3J1
3J1,SkyBlue Aviation,Ridgeland,SC,843-547-8383,,,400+,$6.78 ,400+,$6.78 ,,,,,,,,,3J1
42J,Keystone Heights Airport,Starke,FL,352-473-0031,,,1+,$4.81 ,1+,$4.81 ,,,,,,,,,K42J
4N1,Greenwood Lake AP Management LLC,West Milford,NJ,973-728-7721,,,1+,$7.72 ,1+,$7.72 ,,,,,,,,,K4N1
6A4,Doe Mountain Aviation Services LLC,Mountain City,TN,423-727-1223,,,1+,$4.93 ,1+,$4.93 ,1+,$0.00 ,,,1+,$0.00 ,,,6A4
6I2,Lebanon-Springfield Airport,Springfield,KY,859-336-3818,,,1+,$3.30 ,1+,$3.30 ,1+,$0.00 ,,,1+,$0.00 ,,,K6I2
82J,Roscoe Field Airport,Pensacola,FL,850-453-4181,,,1+,$4.88 ,1+,$4.88 ,1+,$0.00 ,,,1+,$0.00 ,,,82J
8A1,City of Guntersville,Guntersville,AL,256-582-6087,,,All Quantities,$5.86 ,All Quantities,$5.86 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,8A1
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 0 - 300,$6.85 , 0 - 300,$6.69 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 301 - 600,$6.68 , 301 - 600,$6.53 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 601 - 900,$6.49 , 601 - 900,$6.34 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 901 - 1200,$6.32 , 901 - 1200,$6.16 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,,1201+,$6.13 ,1201+,$5.97 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,, 1 - 300,$5.63 , 1 - 300,$5.63 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,, 301 - 500,$5.50 , 301 - 500,$5.50 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,, 501 - 999,$5.41 , 501 - 999,$5.41 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,,1000+,$5.34 ,1000+,$5.34 ,,,,,,,,,KABQ
